tid	4944378	4945412	4947249	4948224	4955010	4966133	4973941	4979821	4981002	4986711	4996965	5016713	5033416	5035454	5051509	5054400	5057303	5063742	5065066	5067141	5067558	5070798	5072587	5072875	5073454	5091316	5111387	5115594
abl	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sbl	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
vp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1
pp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ani_vel	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1
nafds_ramp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANI_overall_fraud_score	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1
carrier	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1
score_smoothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ttg	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
